uid,is_nsfw,has_smile,number_of_faces,has_face
4782825,0,False,1,True
4850168,0,False,0,False
4886047,1,False,0,False
5062610,0,True,1,True
5121782,0,False,0,False
5179109,0,True,1,True
5792716,0,False,1,True
1915747,0,True,1,True
6314800,0,False,4,True
6514531,0,False,0,False
6633244,0,False,0,False
6809985,0,False,0,False
6889784,0,True,1,True
6904922,0,True,1,True
7192751,0,False,1,True
7219122,0,False,1,True
7299768,0,True,1,True
7619226,0,False,1,True
1503275,0,False,0,False
1538535,0,False,1,True
1637724,0,True,1,True
1454275,0,True,1,True
1689711,0,False,0,False
1752344,1,False,1,True
1780089,0,True,1,True
1805028,0,False,0,False
1836648,0,False,2,True
1648041,0,False,0,False
1956556,0,True,1,True
1963984,0,True,1,True
1976625,0,True,1,True
1995111,0,True,1,True
2016118,0,True,1,True
2030509,0,False,2,True
1861972,0,True,1,True
2064554,0,False,1,True
2071629,0,True,1,True
2113609,0,False,0,False
2122460,0,False,1,True
2140985,0,False,0,False
2173916,0,True,1,True
2801263,0,False,1,True
2333063,0,False,0,False
2353333,0,False,1,True
2365658,0,False,0,False
2427828,0,False,2,True
2430388,0,False,0,False
2467109,0,True,1,True
2491173,0,False,0,False
2518993,1,True,1,True
2562011,0,True,1,True
2577145,0,False,1,True
2714587,0,True,1,True
2811267,0,False,0,False
2593231,0,False,1,True
2645413,0,False,0,False
2670174,0,False,0,False
2700841,0,True,1,True
2963254,0,True,1,True
3471836,0,False,1,True
2974381,0,False,1,True
3078467,0,True,1,True
3244207,0,False,1,True
3331635,0,False,2,True
3353537,0,False,0,False
3508743,0,False,0,False
3563707,0,False,0,False
6228091,0,True,1,True
6290738,0,True,1,True
6424208,0,True,1,True
6586554,1,True,1,True
7750212,0,True,1,True
7830537,0,True,1,True
7889453,0,False,0,False
7967846,0,True,1,True
8236671,0,True,1,True
8357455,0,True,1,True
8378486,0,False,0,False
8466388,0,False,2,True
8491156,0,True,1,True
9016742,0,True,1,True
9053810,0,False,1,True
9054533,0,False,0,False
9325834,0,False,0,False
9335913,0,True,1,True
8835356,0,False,1,True
5231732,1,False,0,False
5321301,0,False,1,True
5383806,0,False,1,True
5493912,0,True,1,True
5650801,0,False,1,True
5682243,0,True,1,True
5695649,0,False,1,True
5844743,0,False,0,False
5902822,0,True,1,True
5934927,0,False,0,False
6038260,0,False,2,True
6093246,1,False,0,False
6095308,0,True,1,True
6126477,1,False,1,True
6183940,0,True,1,True
6166278,0,True,1,True
6763274,1,False,1,True
6791233,0,False,1,True
6873459,0,False,7,True
7123782,0,False,0,False
7177425,0,True,1,True
7214411,0,True,1,True
7236757,0,False,1,True
7351905,0,True,1,True
7364953,0,False,0,False
7445800,0,True,1,True
7110531,0,False,0,False
7571390,0,False,0,False
7618534,0,True,1,True
7655339,0,False,1,True
7669283,0,True,1,True
8014042,0,True,1,True
8109329,0,True,1,True
8112448,0,False,0,False
8157044,1,True,1,True
8219650,0,False,1,True
8592979,0,True,1,True
8617459,0,False,0,False
8730007,1,False,2,True
8279317,0,False,0,False
8953898,0,True,1,True
9393778,0,False,1,True
9404430,0,True,1,True
9456748,0,False,0,False
9471142,1,False,0,False
9616229,0,False,0,False
9904240,0,True,1,True
9944812,0,True,1,True
10212842,0,True,1,True
10431992,0,False,2,True
10509497,0,True,1,True
11204758,0,True,1,True
11245993,0,False,1,True
11282209,0,False,2,True
11283022,0,True,1,True
11416736,0,True,1,True
11814634,0,True,1,True
11860458,0,False,1,True
11909345,0,True,1,True
12180237,0,True,1,True
12220067,0,True,1,True
13016452,0,False,0,False
40044050,0,False,0,False
13105008,0,False,2,True
13120071,0,False,1,True
13190623,0,False,0,False
13222720,0,False,1,True
13919374,0,False,0,False
13989389,0,False,1,True
14083232,0,False,1,True
13375715,0,False,1,True
14169165,0,False,0,False
15156308,0,True,1,True
15289072,0,False,2,True
15398591,0,True,1,True
15593716,0,False,0,False
70581424,0,False,1,True
16364904,0,False,1,True
16415531,0,True,1,True
16474742,0,False,0,False
16514967,0,True,1,True
16730046,0,False,0,False
17591506,0,True,1,True
17975129,0,True,1,True
20144491,0,False,0,False
18234821,0,True,1,True
18320374,0,True,1,True
19667585,0,False,0,False
19685080,0,False,1,True
19809634,1,False,0,False
19923357,0,False,1,True
20251339,0,True,1,True
21348225,0,False,1,True
21505649,0,False,1,True
21544303,0,False,2,True
22149824,0,False,3,True
22325137,0,False,1,True
68538152,0,False,0,False
68741701,0,False,1,True
69315382,0,False,1,True
70239879,0,True,1,True
70480609,0,True,1,True
78649267,0,False,1,True
78864358,0,False,0,False
78962856,1,False,1,True
80317143,0,False,0,False
82465903,0,True,1,True
80509517,0,True,1,True
80678008,0,True,1,True
80823692,0,True,1,True
81658897,0,False,1,True
82109671,0,False,1,True
83222848,0,True,1,True
84746665,1,True,1,True
85241656,0,True,1,True
85822026,0,True,1,True
95366740,0,True,1,True
86542177,0,True,1,True
86914315,0,True,1,True
87302388,0,False,1,True
87360408,1,False,1,True
88374606,0,True,1,True
88765526,0,False,1,True
89186537,0,True,1,True
89773334,0,True,1,True
90054142,1,True,1,True
90590693,0,False,0,False
90648443,0,False,2,True
94886752,0,False,0,False
91139036,0,False,0,False
93283424,0,False,0,False
94269839,0,True,1,True
94466818,0,False,1,True
95658600,1,False,0,False
96103059,0,True,1,True
96162010,0,False,0,False
96694157,0,False,1,True
132225174,0,True,1,True
96844918,0,True,1,True
97567423,0,True,1,True
97697513,0,False,0,False
98402756,0,False,0,False
96080199,0,False,1,True
99589890,0,False,0,False
100000985,0,False,0,False
100586314,0,True,1,True
102436701,0,True,1,True
99100465,0,True,1,True
104180122,0,False,0,False
104701470,0,True,1,True
105191910,0,True,1,True
107282623,0,False,1,True
9667827,0,False,0,False
9744742,0,False,1,True
9770370,0,True,1,True
9823033,0,False,0,False
9845899,0,False,1,True
10661864,0,True,1,True
10693103,0,True,1,True
10775778,0,True,1,True
10826924,0,False,0,False
11012779,0,False,1,True
11468130,0,False,1,True
11605518,1,False,1,True
11685916,0,False,1,True
11730125,0,False,2,True
11776868,0,False,1,True
12330625,0,False,0,False
12508875,0,False,0,False
12758944,0,False,1,True
12777007,0,False,1,True
12942505,1,False,1,True
13327606,0,False,1,True
13493032,0,False,1,True
13498392,0,False,0,False
13741003,0,False,1,True
13805278,0,False,1,True
14216144,0,True,1,True
14377513,0,False,0,False
14577463,0,False,1,True
14586332,0,True,1,True
14810512,0,True,1,True
15049362,0,False,1,True
15754435,0,True,1,True
15842580,0,False,0,False
